"ID","ENTITY_NAME__C","EXECUTED_PRODUCT_NAME__C","APPROVE_ACTION_PLAN__C","EXECUTION_TRACKER_PRODUCT__C"
"a0l200000061G1sAAE","0012000000iWCcrAAG","Birla SL - Mid Cap Fund Plan Reg (G) [Folio:1015176794]","a31200000001GndAAE",""
"a0l200000061G1uAAE","0012000000iWCcrAAG","DSP BlackRock - Top 100 Equity Fund (G) [Folio:2586395/39]","a31200000001GncAAE",""
"a0l200000061G0hAAE","0012000000fq8aZAAQ","SBI - M Tax Gain (D) [Folio:7392059]","a31200000001Go0AAE",""
"a0l200000061G0iAAE","0012000000fq8aZAAQ","HDFC - Tax Saver (G) [Folio:3116216/18]","a31200000001GnyAAE",""
"a0l200000061G0oAAE","0012000000fq8aZAAQ","Templeton - India ST Income Plan (G) [Folio:1049904237547]","a31200000001GnkAAE",""
"a0l200000061G0pAAE","0012000000fq8aZAAQ","Templeton - India ST Income Plan (G) [Folio:1049904237547]","a31200000001GnkAAE",""
"a0l200000061G0qAAE","0012000000fq8aZAAQ","Birla SL - Dividend Yield Plus (G) [Folio:1015592212]","a31200000001GniAAE",""
"a0l200000061G0rAAE","0012000000fq8aZAAQ","DSP BlackRock - Top 100 Equity Fund (G) [Folio:2424238/55]","a31200000001GngAAE",""
"a0l200000061G0sAAE","0012000000fq8aZAAQ","HDFC - Top 200 Fund - (G) [Folio:3116216/18]","a31200000001GneAAE",""
"a0l200000061G0zAAE","0012000000fq8aZAAQ","Birla SL - FTP Sr GG Reg (G) Folio:1015179833","a31200000001GnUAAU",""
"a0l200000061G14AAE","0012000000fq8aZAAQ","SBI - Blue Chip Fund (D) [Folio:6299983]","a31200000001GnPAAU",""
"a0l200000061G1PAAU","0012000000fq8aZAAQ","SBI Bluechip Fund","a31200000001Gn4AAE",""
"a0l200000061G1bAAE","0012000000iWCcrAAG","IDFC - Premier Equity Fund Reg (G) [Folio:1249828/51]","a31200000001GnzAAE",""
"a0l200000061G1cAAE","0012000000iWCcrAAG","IDFC - Premier Equity Fund Reg (G) [Folio:1249828/51]","a31200000001GnzAAE",""
"a0l200000061JmWAAU","0012000000iC7HtAAK","Axis Triple Advantage","a312000000012oGAAQ",""
"a0l200000061JmhAAE","0012000000iC7HtAAK","ICICI Focused Bluechip G [Folio:5952130/49]","a312000000012oSAAQ",""
"a0l200000061JmiAAE","0012000000iC7HtAAK","ICICI Focused Bluechip G [Folio:5952130/49]","a312000000012oSAAQ",""
"a0l200000061JmjAAE","0012000000iC7HtAAK","DSP Equity Fund G [Folio:2739482/73]","a312000000012oTAAQ",""
"a0l200000061JmlAAE","0012000000iC7HtAAK","BSL Dynamic Bond Fund G - Folio:1015842028","a312000000012oUAAQ",""
"a0l200000061JmmAAE","0012000000iC7HtAAK","BSL Dynamic Bond Fund G - Folio:1015842028","a312000000012oUAAQ",""
"a0l200000061JmoAAE","0012000000iC7HtAAK","Reliance Gold Savings Fund G [Folio:404127703437]","a312000000012oVAAQ",""
"a0l200000061JmpAAE","0012000000iC7HtAAK","HDFC Top 200 G [Folio:8009670/24]","a312000000012oWAAQ",""
"a0l200000061JmqAAE","0012000000iC7HtAAK","HDFC Top 200 G [Folio:8009670/24]","a312000000012oWAAQ",""
"a0l200000061JmrAAE","0012000000iC7HtAAK","Axis - Triple Advantage Fund (G)[Folio:9048144856]","a312000000012oXAAQ",""
"a0l200000061JmsAAE","0012000000iC7HtAAK","Axis - Triple Advantage Fund (G)[Folio:9048144856]","a312000000012oXAAQ",""
